Hour,aloc1,aloc2,aloc3,aloc4,aloc5,aloc6,aloc7,aloc8,11111111
0,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.95
1,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.94
2,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.94
3,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.94
4,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.94
5,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.95
6,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.95
7,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.95
8,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.95
9,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.95
10,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.95
11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.95
12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.94
13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.94
14,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.95
15,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.95
16,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.95
17,0.13,0.11,0.11,0.13,0.13,0.11,0.12,0.11,0.95
18,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.95
19,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.95
20,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.95
21,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.94
22,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.94
23,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.95
